,lat,lng,sup_t,precio
1264,-32.98888249024841,-68.86268700576332,500,35000
1266,-32.990217019605296,-68.898060505957,500,48000
1276,-32.9960356115517,-68.82860895236206,500,27500
1283,-32.98394845611165,-68.86859582692499,750,63000
1288,-32.99756733146583,-68.82120403442381,500,25000
1293,-32.99582852397092,-68.84292716582456,347,21000
1300,-32.96983370226986,-68.83041006492901,395,38000
1303,-32.97925289869654,-68.87569380793455,445,72000
1304,-32.995299525027114,-68.86330186261915,500,36500
1307,-32.98901103162722,-68.87854210790715,1652,155000
1308,-32.98901103162722,-68.87854210790715,1500,127500
1314,-32.98081396799705,-68.8677894505131,1000,88990
1319,-32.971952657763794,-68.87690843550416,1800,144000
1327,-32.990346473306445,-68.82610203704834,657,32000
1329,-32.99378683512014,-68.83063587105926,467,35000
1333,-32.9931454679121,-68.90730377996354,500,45000
1340,-32.988778,-68.887796,1000,105000
1352,-32.996959,-68.853857,500,36000
1354,-32.988167,-68.830809,500,40000
1356,-32.95526144782461,-68.84691628399318,752,60000
1358,-32.958652579653,-68.850513696671,3000,145000
1359,-32.96333929777359,-68.87065008601945,2200,200000
1361,-32.99936072218304,-68.8680225791622,1000,120000
1369,-32.95522425271152,-68.86687208048706,420,180000
1371,-32.995387861703485,-68.87451837548582,1646,329000
1378,-32.9994744,-68.8304228,512,30000
1385,-32.99633235174031,-68.85520234393312,500,40000
1387,-32.99026102528395,-68.8623673359375,532,43000
1392,-32.9595691,-68.8429006,1800,165000
1393,-32.995549,-68.8286624,500,23000
1399,-32.98879645459473,-68.8298793039215,300,25000
1403,-32.99159593065577,-68.87140083862305,1000,45000
1405,-32.99997741640436,-68.83028474169465,500,21000
1406,-32.99611473521145,-68.8615882834579,500,40000
1422,-32.9877338,-68.8305973,500,38000
1423,-33.00082959161454,-68.83125853585969,525,22000
1425,-32.97131240709836,-68.83540719629515,331,34000
1431,-32.98711482414165,-68.8347858035886,500,40000
1438,-32.9890996,-68.8736183,750,63750
1444,-32.983420976673216,-68.86025848879395,1355,220000
1446,-32.95745685015624,-68.86290241114501,420,189000
1471,-32.99048221816863,-68.89763855615843,508,49900
1474,-32.9612824,-68.853228,910,120000
1477,-32.97343808274183,-68.86971598171111,750,50000
1479,-32.988293963228905,-68.89034176150723,812,82500
1481,-32.954677,-68.8426025,155,13000
1484,-32.985489034275005,-68.86744270810453,996,85000
1486,-32.99743868365222,-68.82123882505327,500,25000
1498,-32.97430405481092,-68.86866790419924,1000,60000
1502,-33.00041635456047,-68.83000142904397,500,18500
1506,-32.994878898142,-68.861660957336,500,43000
1508,-32.996288234578074,-68.86029713284913,500,35000
1512,-33.000817695926,-68.82908821106,500,17900
1519,-32.996931,-68.82823,500,26000
1525,-32.99717193570439,-68.82804805427247,556,21000
1529,-32.968021,-68.7960437,200,21000
1536,-32.968011223402804,-68.79504829009402,230,23300
1542,-32.987118266739,-68.908309936523,512,50000
1543,-32.9980559,-68.8726145,1998,22000
1548,-32.98926155565088,-68.87293637456057,750,63750
1558,-32.978524143224,-68.822336197773,750,20000
1559,-32.96849645908988,-68.8315601159033,307,18000
1561,-32.99770942594214,-68.82143209466307,500,30000
1562,-32.97746571448004,-68.87375175662231,1222,85000
1564,-32.97187015221189,-68.82838849528952,711,45000
1565,-32.966647947988,-68.834066390991,324,13500
1566,-32.9877338,-68.8305973,500,42000
1568,-32.995562780069,-68.818874359131,500,25000
1571,-32.99308919066882,-68.870916993612,960,39000
1572,-32.995433196951595,-68.86215360756495,500,37000
1573,-32.98568878185498,-68.81915524282226,779,28000
1575,-32.9664447,-68.8544244,423,45000
1582,-32.966093,-68.7939296,209,20000
1595,-33.0021003,-68.8311195,500,17500
1606,-32.986275930754,-68.834924697876,500,41500
1607,-33.00068654444233,-68.83070506645508,500,21000
1622,-32.9894567,-68.8257631,500,40000
1631,-32.97436934443426,-68.87887181250306,1800,145000
1633,-32.99803139281169,-68.82146783757071,500,28000
1654,-32.99639621456272,-68.85969631802979,500,38000
1664,-32.9951883,-68.84560189999999,476,27000
1668,-32.99230233173993,-68.82691058624714,500,27500
1680,-32.9952054,-68.84553559999999,350,23500
1681,-32.96951998992419,-68.85364944277171,1080,140000
1683,-32.977091895724286,-68.86269463695183,2001,220000
1685,-32.950780379363884,-68.83357445487349,645,36000
1717,-32.972752605905214,-68.79479416322222,288,28000
1720,-32.996287700052896,-68.81430814751955,530,25000
1743,-32.959201710532,-68.858624696732,275,32000
1752,-32.9961662,-68.8718853,8275,315000
1766,-32.969355,-68.8694241,500,50000
1772,-32.986068945268,-68.858077526093,317,40000
1773,-32.9734432,-68.8165688,500,29500
1794,-32.9988841,-68.8466132,300,24000
1795,-32.98618918939606,-68.81818664804575,778,27000
1803,-32.99969640152683,-68.85680908203126,545,38000
1810,-32.99529282731,-68.873172998428,1500,300000
1814,-32.9513697,-68.838485,301,25000
1824,-32.9939375,-68.8540625,550,44000
1825,-32.970435639062,-68.830461502075,390,32000
1831,-32.957518298509,-68.844784498215,1060,115000
1834,-32.97377069219235,-68.87846522444316,1800,144000
1840,-32.9714126,-68.8246365,407,28000
1842,-32.991497661543114,-68.81807139644775,518,28000
1848,-32.967848606335885,-68.85773779259034,1001,55000
1855,-32.95497868443892,-68.8657235536861,420,180000
1870,-32.9575939,-68.84840969999999,456,42500
1871,-32.96896619216348,-68.83154605051149,300,22500
1875,-32.9701428,-68.79265640000001,200,20600
1876,-32.9724686,-68.8000286,300,25000
1881,-32.96439723435964,-68.8450202186325,215,25000
1889,-32.9782149,-68.8027286,300,24500
1891,-32.995850728769,-68.830804824829,657,28500
1894,-32.98041639744743,-68.82160415825119,750,21000
1896,-32.992608158419,-68.826755724733,500,31000
1902,-32.995850728769,-68.830804824829,500,28500
1903,-32.99067164995556,-68.86059837125134,500,35000
1905,-32.9700853,-68.8304144,400,32000
1906,-32.989407651933,-68.860496878624,500,38000
1909,-32.96110504651686,-68.85322048515621,1050,125000
1912,-32.95183767153821,-68.84005308151245,1424,80000
1932,-32.9800934,-68.82093669999999,500,40000
1943,-32.96372521661319,-68.8413750904602,230,15000
1954,-32.99387913833612,-68.85399259021301,500,35000
1960,-32.990496108245274,-68.90045311174248,540,63000
1963,-32.951194854334595,-68.86470793878408,512,200000
1965,-32.97392789054532,-68.82556363372206,400,30000
1967,-32.99445656367206,-68.86358082003784,504,37000
1968,-32.983105660929404,-68.82147373100834,502,36000
1969,-32.98295318162192,-68.8576629571631,600,55000
1974,-32.96371659939527,-68.84190047218323,230,15000
1977,-32.9705957,-68.7969952,211,22000
1982,-32.9956927,-68.8285278,500,13500
1989,-32.9712743,-68.8199668,757,67000
2000,-32.97428925488634,-68.87727825690894,1824,146000
2002,-32.9974695,-68.8538102,500,42000
2008,-32.9894567,-68.8257631,500,32000
2011,-32.96816319102883,-68.79791875148655,600,24000
2013,-32.977652692046235,-68.8725159343933,1223,90000
2032,-32.97414405746761,-68.83819286187745,200,12300
2035,-32.9707315,-68.8315168,560,45000
2044,-33.00046282992471,-68.83057306298582,512,24500
2053,-32.9871733,-68.8349156,500,49000
2070,-32.9554014,-68.8593946,420,200000
2075,-32.97954660356632,-68.80260045612793,366,46800
2080,-33.00085498827025,-68.83078865050068,511,27000
2368,-32.97456088045506,-68.82630639056663,553,39500
2380,-32.995050837708376,-68.84554031639404,356,22000
2381,-32.98907233480477,-68.87370027662328,917,63750
2384,-32.97339513481072,-68.878324843161,2600,182000
2387,-32.95153709130915,-68.83841709814757,200,16000
2388,-32.9697634619811,-68.83045880725706,373,32000
2392,-32.98793128158172,-68.90779041774904,572,46000
2397,-32.967667851164336,-68.83071629107666,324,14000
2407,-32.98268116476182,-68.82205436715452,430,34000
2410,-32.9897995589899,-68.89840128746339,609,76500
2411,-32.99463950000001,-68.820087,502,21900
2413,-32.97072822485319,-68.82895676196289,308,15000
2425,-32.98861095269264,-68.82943091021914,300,28900
2427,-32.98578947850762,-68.83042503054044,500,45000
2430,-32.9889751814102,-68.90768312938845,1140,90000
2461,-32.99725951516364,-68.85426233300535,500,50000
2466,-32.9977432,-68.85304909999999,535,32000
2469,-32.98548181255547,-68.86833045396727,500,55000
2470,-32.98351138547947,-68.8789091516432,1500,750000
2473,-32.9913558005457,-68.86058404072266,500,35000
2474,-32.98715530146427,-68.83497997301636,500,35000
2483,-32.98830078571649,-68.89043137301636,812,85000
2484,-32.9712404,-68.83562177301634,350,35000
2485,-32.98439460813428,-68.8796760865213,1500,750000
2486,-32.971417494463125,-68.82003080648887,755,45000
